ProductID;AvailableQuantity;NetPrice;EuropeanArticleNumber;NetRetailPrice;Description;GrossMass;ManufacturerPartNumber;CategoryText1;ManufacturerName
"47774421";3;2296.93;"197530307980";;"LENOVO THINKPAD X1 2-IN-1 G9 ULT7 155U 14INCH  TOUCH CORE  32GB 1TB WIN11 PRO 3Y";3.000;"21KE003JPG";"Portáteis, PC e Tablet";"LENOVO"
"47774422";0;1697.47;"198153381692";;"LENOVO THINKPAD P16S G3 ULT7 155H 16INCH 32GB 1TB SSD RTX500 ADA 4GB WIN11 PRO 3Y";2.022;"21KS000BPG";"Portáteis, PC e Tablet";"LENOVO"
"47774423";0;2243.34;"198153384501";;"LENOVO THINKPAD P16S G3 ULT9 185H 16INCH WUXGA 64GB 1TB WIN11 PRO 3Y";2.467;"21KS000PPG";"Portáteis, PC e Tablet";"LENOVO"
"47774424";0;2446.8;"198153495672";;"LENOVO THINKPAD P1 ULT7 165H 16INCH 64GB 1TB SSD RTX2000 ADA 8GB WIN11 PRO 3Y";2.022;"21KV001WPG";"Portáteis, PC e Tablet";"LENOVO"
"47774425";0;2996.3;"198153490639";;"LENOVO THINKPAD P1 ULT9 185H 16INCH  64GB 1TB SSD RTX2000 ADA 8GB WIN11 PRO 3Y";2.022;"21KV0024PG";"Portáteis, PC e Tablet";"LENOVO"
"47774426";0;1797.38;"197530869310";;"LENOVO THINKPAD P16V G2 ULT7 155H 16INCH 32GB 1TB SSD RTX500 ADA 4GB WIN11 PRO 3Y";2.467;"21KX000FPG";"Portáteis, PC e Tablet";"LENOVO"
"47774427";8;1897.29;"197530865282";;"LENOVO THINKPAD P16V G2 ULT7 155H 16INCH 32GB 1TB SSD RTX1000 ADA 6GB WIN11 PRO 3Y";2.467;"21KX000NPG";"Portáteis, PC e Tablet";"LENOVO"
"47774428";0;2296.93;"198153189823";;"LENOVO THINKPAD P16V G2  ULT9 16INCH  WUXGA ULT9 32GB 1TB SSD WIN11PRO";2.467;"21KX001SPG";"Portáteis, PC e Tablet";"LENOVO"
"47774430";5;1147.97;"198153003631";;"LENOVO THINKPAD L14 G5 ULT7 155U 14INCH 16GB 512GB WIN11 PRO 1Y PREMIER";3.000;"21L10039PG";"Portáteis, PC e Tablet";"LENOVO"
"47774431";7;1147.97;"197530994722";;"LENOVO THINKPAD L16 G1 ULT7 155U 16INCH 16GB 512GB WIN11 PRO 1Y PREMIER";3.000;"21L30030PG";"Portáteis, PC e Tablet";"LENOVO"
"47774432";2;1197.92;"198153261499";;"LENOVO THINKPAD L13 2-IN-1 G5 ULT7 155U 13.3INCH TOUCH 16GB 512GB SSD WIN11 PRO";2.420;"21LM001SPG";"Portáteis, PC e Tablet";"LENOVO"
"47774433";0;1697.47;"197530634055";;"LENOVO THINKPAD T14S G5 CORE  ULT7 155U 14INCH 32GB 1TB LTE WIN11 PRO 3Y PREMIER";3.000;"21LS002FPG";"Portáteis, PC e Tablet";"LENOVO"
"47774434";8;1247.33;"197530125065";;"LENOVO THINKPAD X13 G5  ULT7 155U 13.3INCH  WUXGA 16GB 512GB WIN11 PRO 3Y";2.400;"21LU000RPG";"Portáteis, PC e Tablet";"LENOVO"
"47774435";5;1297.8;"197530102219";;"LENOVO THINKPAD X13 G5 2-IN-1  ULT7 155U  13.3INCH  WUXGA 16GB 512GB SSD INT. WIN11P 3Y";0.001;"21LW000RPG";"Portáteis, PC e Tablet";"LENOVO"
"47774436";5;1347.24;"198155039584";;"LENOVO THINKPAD T14S G6 RYZEN PRO 360 14INCH WUXGA 32GB 512GB SSD WIN11P 1YR 3YR + 1YR + CO2";3.000;"21M1001QPG";"Portáteis, PC e Tablet";"LENOVO"
"47774437";33;748.33;"197530217302";;"LENOVO THINKPAD E14 G6 ULT5 125U 14INCH 8GB 256GB SSD INTEGRATED WIN11 PRO 1YR";0.001;"21M70008PG";"Portáteis, PC e Tablet";"LENOVO"
"47774438";66;1078.03;"197530213298";;"LENOVO THINKPAD E14 G6 ULT7 155H 14INCH 32GB 1TB SSD WIN11 PRO 1Y";3.000;"21M70017PG";"Portáteis, PC e Tablet";"LENOVO"
"47774439";3;998.1;"197530289255";;"LENOVO THINKPAD E14 G6 ULT7 155H 14INCH 16GB 512GB WIN11 PRO 1Y";3.000;"21M7002SPG";"Portáteis, PC e Tablet";"LENOVO"
"47774440";30;748.33;"197530207211";;"LENOVO THINKPAD E16 G2 ULT5 125U 16INCH 8GB 256GB SSD WIN11 PRO 1YR";0.001;"21MA000GPG";"Portáteis, PC e Tablet";"LENOVO"
"47774441";49;1078.03;"197530205941";;"LENOVO THINKPAD E16 G2 ULT7 155H 16INCH 32GB 1TB SSD WIN11 PRO 1Y";3.000;"21MA000QPG";"Portáteis, PC e Tablet";"LENOVO"
"47774442";14;998.1;"197530424106";;"LENOVO THINKPAD E16 G2 ULT7 155H 16INCH 16GB 512GB WIN11 PRO 1Y";3.000;"21MA001NPG";"Portáteis, PC e Tablet";"LENOVO"
"47774443";0;946.35;"197530878855";;"LENOVO THINKPAD T14 G5 ULT5 125U 14INCH 16GB 512GB WIN11 PRO 3Y 1Y PREMIER";3.000;"21ML0024PG";"Portáteis, PC e Tablet";"LENOVO"
"47774444";10;1397.74;"197530891588";;"LENOVO THINKPAD T14 G5 ULT7 155U 14INCH 16GB 512GB WIN11 PRO 3Y 1Y PREMIER";3.000;"21ML0032PG";"Portáteis, PC e Tablet";"LENOVO"
"47774445";0;1497.65;"197530896378";;"LENOVO THINKPAD T14 G5 ULT7 155U 14INCH 32GB 1TB WIN11 PRO 3Y 1Y PREMIER";3.000;"21ML003NPG";"Portáteis, PC e Tablet";"LENOVO"
"47774446";12;1397.74;"197530959967";;"LENOVO THINKPAD T16 G3 ULT7 155U 16INCH 16GB 512GB SSD WIN11 PRO 1Y";1.844;"21MN004DPG";"Portáteis, PC e Tablet";"LENOVO"
"47774447";0;1246.97;"197530959677";;"LENOVO THINKPAD T16  T16 G3 ULT7 155U 16INCH WUXGA 32GB 1TB WIN11PRO";1.844;"21MN0058PG";"Portáteis, PC e Tablet";"LENOVO"
"47774449";14;1497.65;"198156247919";;"LENOVO THINKPAD T16 G3 ULT7 155U 16INCH  WUXGA 32GB 1TB WIN11P 1YR 3YR 1YR CO2";3.000;"21MN00CBPG";"Portáteis, PC e Tablet";"LENOVO"
"47774450";0;1028.07;"197531967480";;"LENOVO THINKBOOK 14 G7 IML ULT7 155H 14INCH WUXGA 32GB 1TB WIN11 PRO 1YR";0.001;"21MR004KPG";"Portáteis, PC e Tablet";"LENOVO"
"47774451";32;728.34;"197531970398";;"LENOVO THINKBOOK 14 G7 ULT5 125U 14INCH 8GB 256GB WIN11 PRO 1Y";3.000;"21MR004MPG";"Portáteis, PC e Tablet";"LENOVO"
"47774452";76;728.31;"197531882721";;"LENOVO THINKBOOK 16 G7 ULT5 125U 16INCH 8GB 256GB WIN11 PRO 1Y";3.000;"21MS004APG";"Portáteis, PC e Tablet";"LENOVO"
"47774453";0;1028.07;"197531882332";;"LENOVO THINKBOOK 16 G7 ULT7 155H 16INCH 32GB 1TB WIN11 PRO 1Y";3.000;"21MS0054PG";"Portáteis, PC e Tablet";"LENOVO"
"47774457";0;1897.29;"197530344763";;"LENOVO THINKBOOK 16P G5 IRX I9-14900HX 16INCH  3.2K 32GB 1TB RTX 4060 8GB WIN11 PRO 1YR + 1YR";0.001;"21N50011PG";"Portáteis, PC e Tablet";"LENOVO"
"47774459";0;344.78;"195122737191";;"HP P34HC G4 USB-C WQHD 34INCH(P)";16.700;"21Y56AA#ABB";"Audio, Video, Monitores e TV";"HP INC."
"47774460";0;12.99;"195161008030";;"HP 125 WIRED KEYBOARD(P)";1.000;"266C9AA#AB9";"Periféricos e Acessórios";"HP INC."
"47774461";2;2223.77;"197530610714";;"LENOVO THINKSTATION P2 TOWER I9 14900K 32GB 1TB  WIN11 PRO 3Y";10.744;"30FR001GPG";"Portáteis, PC e Tablet";"LENOVO"
"47774462";0;1797.38;"197530574962";;"LENOVO THINKSTATION P2 TOWER I7 13700 32GB 1TB RTX4060 8GB WIN11 PRO 3Y";15.122;"30FR002LPG";"Portáteis, PC e Tablet";"LENOVO"
"47774463";0;1997.2;"196804917245";;"LENOVO THINKSTATION P3 TOWER I7 13700 32GB 1TB RTX A2000 12GB WIN11 PRO 3Y";16.500;"30GS000PPG";"Portáteis, PC e Tablet";"LENOVO"
"47774464";0;1297.83;"196804915111";;"LENOVO THINKSTATION P3 TOWER I7 13700 16GB 1TB WIN11 PRO 3Y";16.500;"30GS000UPG";"Portáteis, PC e Tablet";"LENOVO"
"47774465";0;1397.74;"196804905501";;"LENOVO THINKSTATION P3 TOWER I7 13700 16GB 512GB WIN11 PRO 3Y";16.500;"30GS000VPG";"Portáteis, PC e Tablet";"LENOVO"
"47774466";0;1497.65;"196804908113";;"LENOVO THINKSTATION P3 TOWER I7 13700 16GB 512GB T1000 8GB WIN11 PRO 3Y";16.500;"30GS000WPG";"Portáteis, PC e Tablet";"LENOVO"
"47774467";0;1797.38;"196804920122";;"LENOVO THINKSTATION P3 TOWER I7 13700K 32GB 1TB T1000 8GB WIN11 PRO 3Y";15.122;"30GS001APG";"Portáteis, PC e Tablet";"LENOVO"
"47774468";0;1547.61;"196804916774";;"LENOVO THINKSTATION P3 TOWER I9 13900K 16GB 512GB WIN11 PRO 3Y";16.500;"30GS001KPG";"Portáteis, PC e Tablet";"LENOVO"
"47774469";0;1497.65;"197529640593";;"LENOVO THINKSTATION P3 TOWER I7 13700K 32GB 1TB WIN11 PRO 3Y";16.500;"30GS003MPG";"Portáteis, PC e Tablet";"LENOVO"
"47774470";0;2296.93;"197529644973";;"LENOVO THINKSTATION P3 TOWER I9 13900 32GB 1TB RTX A2000 12GB WIN11 PRO 3Y";16.500;"30GS003PPG";"Portáteis, PC e Tablet";"LENOVO"
